audit-pipeline.e2e.spec.ts                            Tests 3 failed (3)                           8s rc=1
auth-brute-force.e2e.spec.ts                          Tests 7 passed (7)                           6s rc=0
background-jobs.e2e.spec.ts                           Tests 4 passed (4)                           8s rc=0
catalog-guard-safety.e2e.spec.ts                      Tests 2 passed (2)                           7s rc=0
catalog-photo-upload.e2e.spec.ts                      Tests 7 passed (7)                           8s rc=0
catalog-presign-degraded.e2e.spec.ts                  Tests 1 passed (1)                           7s rc=0
catalog-rbac.e2e.spec.ts                              Tests 4 passed (4)                           8s rc=0
catalog-reads.e2e.spec.ts                             Tests 14 passed (14)                         8s rc=0
catalog-tenant-isolation.e2e.spec.ts                  Tests 6 passed (6)                           8s rc=0
catalog-tenant-read-isolation.e2e.spec.ts             Tests 3 passed (3)                           8s rc=0
catalog.e2e.spec.ts                                   Tests 25 passed (25)                        32s rc=0
cross-tenant-als-leak.e2e.spec.ts                     Tests 1 passed (1)                           9s rc=0
cross-tenant-isolation.e2e.spec.ts                    Tests 4 passed (4)                           7s rc=0
cross-tenant-nats-mix.e2e.spec.ts                     Tests 1 passed (1)                           7s rc=0
gdpr-retention.e2e.spec.ts                            Tests 3 passed (3)                           8s rc=0
health.e2e.spec.ts                                    Tests 3 passed (3)                           2s rc=0
host-resolution.e2e.spec.ts                           Tests 4 passed (4)                           7s rc=0
identity-audit.e2e.spec.ts                            Tests 4 passed (4)                          10s rc=0
identity-bootstrap.e2e.spec.ts                        Tests 8 passed (8)                           4s rc=0
identity-email-verification.e2e.spec.ts               Tests 1 failed | 1 passed (2)                7s rc=1
identity-event-emitter.adapter.e2e.spec.ts            Tests 4 passed (4)                           5s rc=0
identity-invitation.e2e.spec.ts                       Tests 6 passed (6)                           4s rc=0
identity-password-reset.e2e.spec.ts                   Tests 3 passed (3)                           8s rc=0
identity-role-changed.e2e.spec.ts                     Tests 1 failed (1)                           7s rc=1
identity-smoke.e2e.spec.ts                            Tests 5 passed (5)                           7s rc=0
identity-two-factor.e2e.spec.ts                       Tests 5 passed (5)                           9s rc=0
location-isolation.e2e.spec.ts                        Tests 12 passed (12)                         8s rc=0
me-tenants.e2e.spec.ts                                Tests 4 passed (4)                           8s rc=0
member-location-scope-reader.e2e.spec.ts              Tests 5 passed (5)                           6s rc=0
menu-availability.e2e.spec.ts                         Tests 3 passed (3)                           8s rc=0
menu-response.e2e.spec.ts                             Tests 5 passed (5)                          13s rc=0
nats-dlq-poison.e2e.spec.ts                           Tests 1 passed (1)                           9s rc=0
order-cancel-refund.e2e.spec.ts                       Tests 9 passed (9)                           8s rc=0
order-feed-query.e2e.spec.ts                          Tests 10 passed (10)                         5s rc=0
order-lifecycle.e2e.spec.ts                           Tests 8 passed (8)                           5s rc=0
order-routes-authz.e2e.spec.ts                        Tests 10 passed (10)                        12s rc=0
order-short-number.e2e.spec.ts                        Tests 4 passed (4)                           5s rc=0
organization-switch.e2e.spec.ts                       Tests 5 passed (5)                           4s rc=0
outbox-dispatcher.e2e.spec.ts                         Tests 4 passed (4)                           7s rc=0
outbox-nats-decoupling.e2e.spec.ts                    Tests 3 passed (3)                           5s rc=0
outbox-rls.e2e.spec.ts                                Tests 4 passed (4)                           5s rc=0
payment-lifecycle.e2e.spec.ts                         Tests 1 failed | 5 passed (6)                6s rc=1
payments-isolation.e2e.spec.ts                        Tests 5 passed (5)                           8s rc=0
payments-upsert-partial-index.e2e.spec.ts             Tests 2 passed (2)                           4s rc=0
per-tenant-signin-rate-limit.e2e.spec.ts              Tests 2 passed (2)                           8s rc=0
public-menu-servable.e2e.spec.ts                      Tests 2 passed (2)                           8s rc=0
revoke-user-sessions.e2e.spec.ts                      Tests 1 passed (1)                           7s rc=0
role-grants.e2e.spec.ts                               Tests 2 passed (2)                           4s rc=0
roles-cross-tenant-isolation.e2e.spec.ts              Tests 5 passed (5)                           8s rc=0
roles-privilege-escalation.e2e.spec.ts                Tests 7 passed (7)                           8s rc=0
security.e2e.spec.ts                                  Tests 1 failed | 8 passed (9)                4s rc=1
signup-enumeration.e2e.spec.ts                        Tests 3 passed (3)                          15s rc=0
signup.e2e.spec.ts                                    Tests 6 passed (6)                           5s rc=0
stop-list-aggregate.e2e.spec.ts                       Tests 7 passed (7)                           8s rc=0
stripe-webhook-inbox-dedup.e2e.spec.ts                Tests 2 passed (2)                           5s rc=0
tenancy-erasure.e2e.spec.ts                           Tests 4 failed (4)                           7s rc=1
tenancy-offboarding.e2e.spec.ts                       Tests 7 failed | 4 passed (11)               7s rc=1
tenancy-suspend.e2e.spec.ts                           Tests 6 passed (6)                           8s rc=0
tenancy.e2e.spec.ts                                   Tests 5 failed | 4 passed (9)                7s rc=1
tenant-onboarding.e2e.spec.ts                         Tests 3 passed (3)                           6s rc=0
tenant-slug-lookup.e2e.spec.ts                        Tests 1 passed (1)                           7s rc=0
tenants-controller.e2e.spec.ts                        Tests 1 failed | 20 passed (21)              9s rc=1
create-order-idempotency.spec.ts                      Tests 4 passed (4)                           6s rc=0
ordering-audit-projection.spec.ts                     Tests 2 passed (2)                           5s rc=0
postgres-menu-version.adapter.spec.ts                 Tests 4 passed (4)                           5s rc=0
AUDIT COMPLETE
